MWRT,NOT,LEN,BTZ,LBH
"270.20116,8.034",86222597.28,0,0,108270838.2
"254.20574,8.075",172413755.2,0,0,151866121.1
"396.2661,8.112",16930941.27,0,0,89572094.13
"110.10969,8.113",15375813.29,0,0,15067818.04
"310.26872,8.256",10548549.87,0,0,14638634.69
"342.29503,8.282",5534907723,0,0,5224483478
"321.28493,8.286",52135310.07,0,0,46502204.29
"326.2867,8.286",20485709.8,0,0,21673916.38
"286.21443,8.331",36646405.6,0,0,27353338.05
"312.19679,8.331",26316994.72,0,0,25860363.95
"590.52547,8.458",31981596.54,0,0,26808549.31
"328.26164,8.466",16210007.46,0,0,12310301.8
"300.26649,8.471",29319306.1,0,0,24602282.74
"322.2173,8.473",39400677.85,0,0,34562990.07
"418.30721,8.475",82780458.34,0,0,62144194.24
"387.27175,8.477",60391032.36,0,0,33053978.53
"312.30311,8.618",25257457.61,0,0,16696082.64
"171.12576,9.848",24495687.68,0,0,41058424.21
"330.21483,9.922",16351352.57,0,0,10458199.94
"169.14635,10.168",157028718.5,0,0,507487213.7
"273.15679,10.213",8279405.637,0,0,41839438.76
"271.17803,10.269",33737662.46,0,0,43777105.11
"226.20387,10.298",385957085,0,0,14876530.88
"356.26689,10.405",15191615.88,0,0,12354948.61
"475.24108,10.416",14208075.65,0,0,9470222.476
"445.25121,10.514",15530681.04,0,0,11933938.21
"110.10977,10.517",42607316.11,0,0,54699392.1
"296.20912,10.539",59469014.38,0,0,64358145.57
"296.20918,10.54",68109187.96,0,0,795588014.5
"503.32991,10.567",16102714.78,0,0,18375235.71
"299.17269,10.572",11383870.6,0,0,15224004.8
"322.26113,10.612",31692368.51,0,0,25234496.19
"282.23027,10.643",41989399.76,0,0,19698315.07
"698.39786,10.653",41652772.4,0,0,34953990.68
"367.22002,10.702",36761631.89,0,0,49202845.94
"270.19356,10.769",67089469.7,17480323.4,0,32138270.88
"287.17278,10.77",80060625.01,0,0,139669348.6
"231.14672,10.846",28925441.84,0,0,27379060.22
"354.25139,10.853",83980481.48,0,0,51507719.15
"312.24077,10.857",18803764.06,0,0,34398747.75
"299.20888,10.888",10570754.82,0,0,107852683.1
"317.18288,10.962",34868879.36,0,0,23181953.37
"429.23534,11.007",4505847237,0,0,5392703096
"312.17622,11.01",41942125.75,0,0,18186517.98
"312.17616,11.014",19390488.36,0,0,84707799.12
"326.19191,11.016",87392876.58,0,0,135328292.6
"172.07335,11.044",1390209082,0,0,1747922695
"678.40293,11.048",15185827.37,0,0,34177214.5
"195.19829,11.059",36773772.74,0,0,50897667.29
"335.25646,11.062",25336729.05,0,0,32706836.21
"475.27989,11.137",16387594.64,0,0,43370744.5
"605.39739,11.143",93035627.58,0,0,12950912.88
"783.48142,11.19",10699387.23,0,0,16212049.91
"295.21401,11.232",21306386.83,0,0,15734097
"487.24095,11.235",59773323.96,0,0,93693046.11
"244.14169,11.261",9889675.68,0,0,15130454.89
"258.19368,11.29",51411960.01,0,0,331967759.5
"364.23546,11.325",29101427.98,0,0,38287588.44
"356.26689,11.342",592326127.9,0,0,222752906.4
"428.28752,11.346",54905562.5,0,0,68682828.72
"915.55948,11.355",30954024.99,0,0,15254147.53
"129.15169,11.379",554288921.4,0,0,565842689.7
"115.94263,11.39",708846434.7,0,0,712767571.3
"120.95902,11.39",553978683.9,0,0,449901242.9
"102.94821,11.394",2769811469,0,0,2542407880
"135.10472,11.409",54483330.25,0,0,63990328.06
"372.11034,11.411",6993900.964,0,0,16999191.32
"155.09389,11.426",54296031.56,166350671.1,0,35270619.92
"152.08345,11.435",1013850559,0,0,545090245
"198.08876,11.442",547376364.2,0,0,158680552.1
"224.15193,11.53",95116520.63,0,0,718673231.2
"310.26125,11.534",51252995.67,0,0,29871736.35
"361.31828,11.541",42409937.71,0,0,44145872.95
"369.23577,11.559",11836436.71,0,0,11454793.81
"537.42357,11.632",74346593.25,0,0,76620928.68
"573.27703,11.673",6519010.941,0,0,8583095.78
"382.28197,11.685",16431368.87,0,0,21917088.69
"336.21422,11.7",341092152.4,0,0,445407605.1
"488.15572,11.754",71492197.92,0,0,47660222.74
"384.26128,11.777",154715365.9,0,0,88841741.1
"380.23989,11.799",190009588.6,0,0,372107058.1
"172.10947,11.801",67961958.27,0,0,60610871.05
"436.2298,11.807",263144588.3,0,0,423180492.2
"167.13075,11.935",1373536295,0,0,395255265.9
"212.18852,11.938",24120956.41,0,0,12817434.07
"322.23625,11.953",9217811.06,0,0,46356534.2
"324.27675,11.996",377621294.8,535456037.1,0,202766421.2
"331.1985,12.009",134471970,0,0,146366203.3
"291.21895,12.04",10715601.25,0,0,27535070.78
"214.08456,12.065",37096077.63,0,0,57874399.43
"284.00179,12.096",17479922.27,0,0,17371570.65
"338.25609,12.133",67470781.62,0,0,52853629.13
"294.14604,12.136",17666312.57,0,0,41766046.35
"284.17314,12.151",73780003.53,0,0,27653152.64
"136.05159,12.167",174660812.8,0,0,230889073
"260.01238,12.18",45961171.41,0,0,45989888.66
"550.12345,12.184",32265212.06,0,0,31448301.52
"256.16677,12.204",9895705.284,0,0,7648288.201
"424.29256,12.213",69366197.76,0,0,229395708.5
"265.16692,12.215",27064313.59,0,0,12049015.68
"354.25124,12.222",10867343.79,0,0,21337430.11
"217.16742,12.229",10280933.67,0,0,16501206.79
"281.19869,12.263",24436631.19,0,0,9814620.14
"149.08376,12.269",29274535.22,0,0,32178994.39
"412.32948,12.295",15208470.68,0,0,9439823.137
"556.37096,12.355",116028255.1,0,0,80317104.73
"337.04811,12.364",23818537.17,0,0,19354261.13
"198.05232,12.368",176066515.5,0,0,253827590.3
"464.36031,12.372",24544153.39,0,0,113312221.8
"207.08902,12.417",37916421.42,0,0,57877231.88
"247.14119,12.421",24351600.53,0,0,21580335.54
"294.05385,12.437",34155809.21,0,0,13171703.31
"409.28246,12.453",39633374.53,0,0,12298242.52
"216.13587,12.455",172314243.6,0,0,154929446.9
"640.39195,12.464",104063929,0,0,23222619.04
"540.16861,12.478",12960314.17,0,0,26282050.78
"124.05242,12.479",43388229.04,0,0,155390502.5
"373.06883,12.482",11384491.19,0,0,7213521.375
"443.33638,12.516",22980052.75,0,0,10162854.47
"216.11447,12.524",82405712.37,0,0,75226371.83
"280.17787,12.524",26990083.98,0,0,26410113.31
"280.178,12.524",24649624.28,0,0,45281673.91
"313.15196,12.525",50429424.75,0,0,103389970.7
"202.12016,12.527",7280018.168,0,0,12238443.29
