Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,625.47563,11.68,0.111,3,1,51653822.34,F40,NOT,"625.47563,11.68",TRUE,625.47563,11.68,0.125,3,1,55163621.65,F6,BTZ,"625.47563,11.68",1.067948492
TRUE,669.50121,11.699,0.111,3,1,34141199.13,F45,NOT,"669.50121,11.699",TRUE,669.50121,11.699,0.101,3,1,40536463.7,F12,BTZ,"669.50121,11.699",1.187318101
TRUE,145.02234,11.707,0.132,1,2,46773023.24,F41,NOT,"145.02234,11.707",TRUE,145.02234,11.707,0.16,1,2,43793722.63,F11,BTZ,"145.02234,11.707",0.936303014
TRUE,104.02644,11.718,0.121,2,1,67718857.73,F35,NOT,"104.02644,11.718",TRUE,104.02644,11.718,0.106,2,1,160875603.5,F6,BTZ,"104.02644,11.718",2.37563965
TRUE,713.52703,11.722,0.111,3,1,19367615.34,F45,NOT,"713.52703,11.722",TRUE,713.52703,11.722,0.104,2,1,20202863.47,F12,BTZ,"713.52703,11.722",1.043126018
TRUE,331.1989,11.747,0.079,2,1,67168395.29,F40,NOT,"331.1989,11.747",TRUE,331.1989,11.747,0.086,2,1,53990972.54,F4,BTZ,"331.1989,11.747",0.803815132
TRUE,384.26193,11.779,0.074,2,2,191274175.6,F35,NOT,"384.26193,11.779",TRUE,384.26193,11.779,0.079,4,2,164609214.6,F5,BTZ,"384.26193,11.779",0.86059299
TRUE,481.28737,11.805,0.078,2,1,16707149.5,F41,NOT,"481.28737,11.805",TRUE,481.28737,11.805,0.076,3,1,67507044.3,F13,BTZ,"481.28737,11.805",4.040608142
TRUE,398.27727,11.813,0.127,2,1,36885138.98,F40,NOT,"398.27727,11.813",TRUE,398.27727,11.813,0.121,2,1,48271073.37,F7,BTZ,"398.27727,11.813",1.308686227
TRUE,158.05777,11.851,0.107,2,1,26685726.48,F40,NOT,"158.05777,11.851",TRUE,158.05777,11.851,0.097,2,1,22365827.7,F6,BTZ,"158.05777,11.851",0.838119499
TRUE,158.05777,11.851,0.115,2,1,21073670.18,F37,NOT,"158.05777,11.851",TRUE,158.05777,11.851,0.097,2,1,22365827.7,F6,BTZ,"158.05777,11.851",1.061316207
TRUE,424.26649,11.879,0.08,3,2,77812985.96,F37,NOT,"424.26649,11.879",TRUE,424.26649,11.879,0.078,3,2,460740360.8,F4,BTZ,"424.26649,11.879",5.921124284
TRUE,300.03367,12.097,0.076,4,3,136347948.7,F37,NOT,"300.03367,12.097",TRUE,300.03367,12.097,0.076,4,1,99822608.5,F11,BTZ,"300.03367,12.097",0.732116687
